"REF_DATE","GEO","DGUID","Variable","Sub-sector","Activity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595094","3.1.1.9","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","International","Jobs","190","thousands","3","v1047595095","3.1.1.10","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Religion","Jobs","190","thousands","3","v1047595096","3.1.1.11","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Business and professional associations, unions","Jobs","190","thousands","3","v1047595097","3.1.1.12","1","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions","Not elsewhere classified","Jobs","190","thousands","3","v1047595098","3.1.1.13","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions less government","Total activities","Jobs","190","thousands","3","v1047595281","3.1.2.1","3","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions less government","Culture and recreation","Jobs","190","thousands","3","v1047595282","3.1.2.2","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions less government","Education and research","Jobs","190","thousands","3","v1047595283","3.1.2.3","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions less government","Health","Jobs","190","thousands","3","v1047595284","3.1.2.4","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions less government","Social services","Jobs","190","thousands","3","v1047595285","3.1.2.5","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions less government","Environment","Jobs","190","thousands","3","v1047595286","3.1.2.6","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions less government","Development and housing","Jobs","190","thousands","3","v1047595287","3.1.2.7","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions less government","Law, advocacy, and politics","Jobs","190","thousands","3","v1047595288","3.1.2.8","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions less government","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595289","3.1.2.9","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions less government","International","Jobs","190","thousands","3","v1047595290","3.1.2.10","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions less government","Religion","Jobs","190","thousands","3","v1047595291","3.1.2.11","0","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions less government","Business and professional associations, unions","Jobs","190","thousands","3","v1047595292","3.1.2.12","1","","","","0"
"2007","Prince Edward Island","2016A000211","Employment","Total non-profit institutions less government","Not elsewhere classified","Jobs","190","thousands","3","v1047595293","3.1.2.13","0","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions","Total activities","Jobs","190","thousands","3","v1047595099","4.1.1.1","66","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions","Culture and recreation","Jobs","190","thousands","3","v1047595100","4.1.1.2","2","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions","Education and research","Jobs","190","thousands","3","v1047595101","4.1.1.3","15","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions","Health","Jobs","190","thousands","3","v1047595102","4.1.1.4","31","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions","Social services","Jobs","190","thousands","3","v1047595103","4.1.1.5","8","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions","Environment","Jobs","190","thousands","3","v1047595104","4.1.1.6","0","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions","Development and housing","Jobs","190","thousands","3","v1047595105","4.1.1.7","0","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions","Law, advocacy, and politics","Jobs","190","thousands","3","v1047595106","4.1.1.8","0","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions","Philanthropic intermediaries and voluntarism promotion","Jobs","190","thousands","3","v1047595107","4.1.1.9","1","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions","International","Jobs","190","thousands","3","v1047595108","4.1.1.10","0","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions","Religion","Jobs","190","thousands","3","v1047595109","4.1.1.11","2","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions","Business and professional associations, unions","Jobs","190","thousands","3","v1047595110","4.1.1.12","5","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions","Not elsewhere classified","Jobs","190","thousands","3","v1047595111","4.1.1.13","1","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions less government","Total activities","Jobs","190","thousands","3","v1047595294","4.1.2.1","18","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions less government","Culture and recreation","Jobs","190","thousands","3","v1047595295","4.1.2.2","2","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions less government","Education and research","Jobs","190","thousands","3","v1047595296","4.1.2.3","1","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions less government","Health","Jobs","190","thousands","3","v1047595297","4.1.2.4","2","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions less government","Social services","Jobs","190","thousands","3","v1047595298","4.1.2.5","4","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions less government","Environment","Jobs","190","thousands","3","v1047595299","4.1.2.6","0","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions less government","Development and housing","Jobs","190","thousands","3","v1047595300","4.1.2.7","0","","","","0"
"2007","Nova Scotia","2016A000212","Employment","Total non-profit institutions less government","Law, advocacy, and politics","Jobs","190","thousands","3","v1047595301","4.1.2.8","0","","","","0"
